55	45	3	1002259248
121	30	2	1004377117
7	33	2	1005089177
139	73	2	1005647938
67	55	2	1006414676
31	11	4	1007567620
91	19	3	1007625691
122	30	2	1007673758
49	54	0	1007683976
7	19	1	1008035937
139	17	1	1008422034
97	52	4	1009725048
140	73	1	1010311939
61	22	4	1011447437
109	62	3	1011947010
139	3	4	1012207344
91	33	3	1012227689
79	65	0	1012469288
67	69	2	1012714319
19	1	5	1013320828
109	34	2	1014122368
19	15	2	1014169227
1	0	4	1014552218
25	20	2	1015316668
13	10	1	1015702252
141	73	4	1019026132
109	6	2	1019740334
142	73	5	1021396281
37	44	3	1022009821
55	31	4	1024121192
37	58	5	1024842395
97	38	2	1025089617
7	47	3	1025490614
31	81	3	1025851823
20	15	2	1027001917
133	54	2	1027189134
31	39	2	1028754817
92	19	4	1029484010
73	60	4	1029598669
68	69	2	1031781146
68	55	4	1031788857
19	43	4	1032432574
91	61	3	1032567330
115	25	5	1032733976
67	83	3	1032916219
127	21	5	1033110546
56	31	4	1033204064
61	50	3	1033802462
127	49	1	1036580143
25	6	1	1037086406
26	6	3	1038241802
31	67	2	1039566204
127	35	3	1043373391
79	23	3	1043646864
85	70	4	1043779854
69	55	3	1044235718
133	82	4	1044778346
43	35	5	1044942468
73	4	3	1047793556
8	33	3	1049026072
37	30	5	1049075557
127	77	1	1050178646
55	73	5	1050233162
25	62	0	1050272987
55	3	1	1051044968
8	47	2	1051757614
80	23	3	1051904704
20	1	4	1051986873
145	22	4	1052900856
121	2	1	1053619944
19	57	1	1053885664
140	3	4	1054154688
73	32	3	1055307761
7	75	2	1055602607
56	3	5	1057776078
38	30	5	1057819517
109	20	2	1058330316
146	22	4	1058627593
32	11	4	1059052932
61	78	2	1059334519
109	48	1	1060146791
38	44	3	1061568904
57	3	2	1062827894
37	2	3	1063259815
39	44	3	1063423072
67	13	2	1065110622
20	57	4	1065577522
91	47	2	1066879688
110	20	1	1067474079
38	2	2	1068385993
134	82	0	1069455750
97	80	0	1070671481
134	54	3	1070731926
1	42	2	1071286625
40	44	2	1071551436
49	26	5	1072361302
140	17	1	1072501062
33	11	4	1073913365
121	16	2	1076244209
21	1	4	1076616213
32	67	1	1077393265
7	5	5	1077536061
26	20	0	1078383865
70	55	4	1078555801
8	75	3	1079042064
115	39	2	1079545652
139	45	2	1081746934
73	18	5	1081886397
147	22	4	1082073741
38	58	1	1082936633
115	53	1	1084300861
98	38	0	1085063354
8	19	4	1085594832
79	51	4	1085826602
62	50	0	1086345473
110	6	2	1087182914
135	82	5	1088096019
80	65	2	1088738861
99	38	4	1088841815
27	20	0	1089584656
27	6	3	1090863261
25	76	2	1091236641
39	2	1	1091337348
43	49	2	1091392722
103	29	3	1091844475
103	71	1	1091884279
74	18	1	1092012369
79	79	4	1093466896
1	14	2	1094892586
39	58	3	1095470873
37	16	3	1095982647
97	24	2	1096274245
39	30	4	1096337777
128	21	0	1097956574
145	36	2	1099410678
110	48	2	1100084749
34	11	1	1101026451
50	26	4	1101375958
55	59	3	1101614718
133	40	2	1101992029
44	35	5	1102708243
38	16	2	1102783423
69	69	3	1103102697
45	35	5	1103135760
32	81	3	1105426046
61	64	0	1105484475
139	31	5	1105560459
111	6	2	1105608939
71	55	3	1105915198
85	42	2	1106929252
19	29	5	1107483864
116	25	3	1107820221
20	43	2	1108248962
26	62	1	1109542307
2	0	4	1109600806
75	18	5	1109699230
40	2	3	1109949539
